question,labels
[CLS] who was the last prisoner to leave alcatraz[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'O', 'B-ASP', 'I-ASP']"
[CLS] is french culture more intellectual than american culture[SEP],"['O', 'B-OBJ', 'I-OBJ', 'B-PRED', 'B-ASP', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] what is the effect of full annealing compared to normalizing[SEP],"['O', 'O', 'O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'B-PRED', 'I-PRED', 'B-OBJ']"
[CLS] who is the first lady prime minister of india and what has she done for your country[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-ASP']"
[CLS] what s the difference between a masters in clinical dentistry versus going for a residency programme[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] can you compare donald trump and ronald reagan[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] in what section of the country were most of the states with low populations of immigrants located[SEP],"['O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-PRED', 'O', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] who would be a better president hillary clinton or donald trump[SEP],"['O', 'O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] what are the best pictures that showcase the uk[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the best way for a new ceo of a tech startup to approach develop mentors in the funding startup community[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who will typically have the most decision making ability in this relationship[SEP],"['B-OBJ', 'O', 'B-ASP', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what s the different between diesel and petrol injector[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] what is the difference between delinquency prevention and control[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ']"
[CLS] what are the biggest stories tmz has broken[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the benefits of ribose rx energy[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] is attack on titan manga the same as the anime[SEP],"['O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-PRED', 'O', 'O', 'O']"
[CLS] what is the difference between sweater and sweatshirt[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'O', 'B-OBJ']"
[CLS] what is the biggest mistake you have done in your life[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is the best book for building self esteem and confidence[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] who is best known for his advocacy of laissez faire as the guiding principle for economic policy[SEP],"['B-OBJ', 'O', 'B-PRED', 'B-ASP', 'O', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what are the best cyanide happiness comics[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the funnest terraria class[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ']"
[CLS] should i book thailand rail tickets online pre trip or at the station when i arrive[SEP],"['O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is the best quickbooks error support number[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is the best training institute in pune for digital marketing and why[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O']"
[CLS] which fabric is the best for nightwears[SEP],"['O', 'B-OBJ', 'O', 'O', 'B-PRED', 'O', 'B-ASP']"
[CLS] what was the biggest win in nba history[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] harry potter creative franchise who is a more powerful wizard dumbledore or voldemort why[SEP],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRED', 'B-ASP', 'O', 'B-OBJ', 'O', 'B-OBJ', 'O']"
[CLS] who is the oldest in why dont we[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'O', 'O', 'O']"
[CLS] what are the best coworking spaces in los angeles[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what s the weirdest search you ve done on google[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what was the primary cause of the civil war[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is correct monday to friday or monday through friday[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what show is funnier family guy or the simpsons[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'O', 'O', 'B-OBJ']"
[CLS] why does germany s economy strongly outperform other parts of europe[SEP],"['O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the most popular religion in uk[SEP],"['O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which bleach helps fade cloth[SEP],"['O', 'B-OBJ', 'B-ASP', 'B-ASP', 'I-ASP']"
[CLS] where does the water from the great lakes come from and how does these lakes wildlife compare to lake geneva[SEP],"['O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] what is the first intelligence test to include a non verbal scale as a measure of human intelligence[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] who is the most interesting person actively using quora[SEP],"['O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] has doctor who gained or lost popularity amongst new viewers during the last doctor vs the old ones[SEP],"['O', 'B-OBJ', 'I-OBJ', 'B-PRED', 'O', 'I-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'O', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] what is the best way to improve your web development skills[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] i have rs 30000 what is a good small business that i can start with it[SEP],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the differences between engines and engine turbines[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] if it was for you to chose game development vs application development which will you chose[SEP],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'O', 'O', 'O', 'O']"
[CLS] what vegetables require the least sunlight[SEP],"['O', 'B-OBJ', 'B-ASP', 'O', 'B-PRED', 'B-ASP']"
[CLS] who is the first woman boxer to be honoured with the rajiv[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what are the most expensive purses in the world[SEP],"['O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is india s rank in 2018 index of economic freedom[SEP],"['O', 'O', 'B-OBJ', 'I-OBJ', 'B-PRED', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is the best way for an unexperienced person to start a business without any risk[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the benefits of using a dedicated rice cooker rather than just cooking rice in a pot[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the biggest contribution of meralco in luzon[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who has the most goals in us women s soccer[SEP],"['B-OBJ', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] do you agree that a liberal society is better as it allows liberal and conservative lifestyle but conservatism only allows conservative lifestyle[SEP],"['O', 'O', 'O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'O', 'B-PRED', 'O', 'O', 'I-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is best book for maths in class 10[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the most fun parts about being rich and successful[SEP],"['O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is the best institute in pune for cfa certification[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the best thriller movies of all time[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who would win an all out war between pakistan and india if no other country got involved[SEP],"['O', 'O', 'B-PRED', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'O', 'B-OBJ', 'O', 'B-OBJ', 'O', 'O', 'O', 'O', 'I-ASP', 'I-ASP']"
[CLS] what are the best books or site to prepare essays for xat[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the different types of sae in ffa[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the best place for ramen in chicago[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the best was to lose weight[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the best way to beat frustration[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the difference between period and pregnancy cramps[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] chomsky nf or greibach nf what are the benefits for lr parser[SEP],"['B-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'O', 'O', 'O', 'B-PRED', 'O', 'O', 'I-ASP']"
[CLS] what are the benefits of grape seed oil[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who was the first living indian to feature of postage stamp of india[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what are some good coaching centres for ca ipcc in delhi[SEP],"['O', 'O', 'B-PRED', 'I-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who holds the record for most home runs in a single season[SEP],"['B-OBJ', 'O', 'O', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is the fat what is the fastest car in the whole wide wide world[SEP],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is the best civil engineering coaching class for ies in delhi[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] do you believe donald trump would be the worst president in the history of the united states of america[SEP],"['O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is your favorite eyeliner from oriflame[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the weirdest dream you ve had[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] is obamacare really any better than medicare[SEP],"['O', 'B-OBJ', 'O', 'O', 'B-PRED', 'O', 'B-OBJ']"
[CLS] what is the difference in a country s expansionist and imperialist tendency[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] who has the highest tides in the world[SEP],"['B-OBJ', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is the best mobile application technology[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is your favorite music genre and why[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'O', 'O']"
[CLS] how do animals that live in ponds and lakes differ from the rest[SEP],"['O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'B-PRED', 'O', 'O', 'B-OBJ']"
[CLS] which are the best us cites for payments professionals[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'O', 'B-ASP', 'I-OBJ']"
[CLS] what is the major difference between a cd and a dvd[SEP],"['O', 'O', 'O', 'B-PRED', 'I-PRED', 'O', 'O', 'B-OBJ', 'O', 'O', 'B-OBJ']"
[CLS] what s the least common multiple of 5 and 150[SEP],"['O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] are human beings better than animals[SEP],"['O', 'B-OBJ', 'I-OBJ', 'B-PRED', 'O', 'B-OBJ']"
[CLS] what is the location of palawan and how does this island compare to aitutaki[SEP],"['O', 'O', 'O', 'O', 'O', 'I-OBJ', 'O', 'O', 'O', 'O', 'O', 'B-PRED', 'O', 'B-OBJ']"
[CLS] what is the best way to make money as a student in canada[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is correct ph d adviser or ph d advisor[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are some good movies which depict friendship[SEP],"['O', 'O', 'B-PRED', 'I-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the best english translation of the bhagavad gita[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what should be the best reply to the interview question what is your professional development plan[SEP],"['O', 'O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are good books on analytics[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who was the most decorated solider of ww2[SEP],"['O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the difference between a bernese mountain dog and a swiss mountain dog[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is a good institute for itil certification in pune[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] who was the oldest supreme court justice ever[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which mbti types are most likely to get which mental disorders[SEP],"['O', 'B-OBJ', 'I-OBJ', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] who did the stock market crash affect the most[SEP],"['B-OBJ', 'O', 'O', 'B-ASP', 'I-OBJ', 'I-OBJ', 'I-ASP', 'O', 'B-PRED']"
[CLS] what is a chromebook vs laptop[SEP],"['O', 'O', 'O', 'B-OBJ', 'O', 'B-OBJ']"
[CLS] what s the creepiest experience you ve had with a man[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] where can i found adorable baked cupcakes in gold coast[SEP],"['O', 'O', 'O', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the economic pros and cons of polygamy[SEP],"['O', 'O', 'O', 'B-ASP', 'B-PRED', 'I-PRED', 'I-PRED', 'O', 'B-OBJ']"
[CLS] how can i know about the best hotel in varanasi[SEP],"['O', 'O', 'O', 'O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is the best course nowadays[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ']"
[CLS] what are the best instrumental soundtracks of 2015[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are some of the most beautiful sounding words in different languages[SEP],"['O', 'O', 'B-PRED', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the best programming language one must learn to stay updated today[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is the best way to ask out a coworker[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] was google the first search engine to use inbound links in its algorithm ie pagerank[SEP],"['O', 'B-OBJ', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is the fastest internet modem router[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the best way to relax sore muscles[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what country has the highest gross domestic product[SEP],"['O', 'B-OBJ', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is the best definition of transdisciplinarity[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the 10 richest states in america[SEP],"['O', 'O', 'O', 'B-PRED', 'I-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which is a suitable inpatient drug and alcohol rehab center in mchenry county il[SEP],"['O', 'O', 'O', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] how to travel to moorea for less[SEP],"['B-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'I-OBJ']"
[CLS] what are some mind blowing men wallets that exist that most people don t know about[SEP],"['O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what are the best viral videos[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ']"
[CLS] who scored the most premier league goals in a season[SEP],"['B-OBJ', 'O', 'O', 'B-PRED', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is your favorite book of all time and why[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O']"
[CLS] how are red giants different from main sequence stars[SEP],"['O', 'O', 'B-OBJ', 'I-OBJ', 'B-PRED', 'O', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are some good brands of sneakers[SEP],"['O', 'O', 'B-PRED', 'I-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what are the best high end preschools in montr al what makes them good or special[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'O', 'O', 'O', 'O', 'O', 'O']"
[CLS] what s the cheapest price for a car in the us[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the difference python productivity vs java productivity[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ']"
[CLS] who is the worst political party spokesperson in india[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the largest chimpanzee on record[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what s the best way to self publish an e book[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] will donald trump or hillary clinton win the 2016 us presidential election[SEP],"['O', 'B-OBJ', 'I-OBJ', 'O', 'B-OBJ', 'I-OBJ', 'B-PRED', 'O', 'B-ASP', 'I-ASP', 'I-ASP', 'I-ASP']"
[CLS] what is bigger bits or giga[SEP],"['O', 'O', 'B-PRED', 'B-OBJ', 'O', 'B-OBJ']"
[CLS] which state has the longest coastline[SEP],"['O', 'B-OBJ', 'O', 'O', 'B-PRED', 'B-ASP']"
[CLS] who are the best football player in the world[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] where is the longest bridge over water[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the most efficient car for delivery[SEP],"['O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the most useless feature you have seen on a car[SEP],"['O', 'O', 'O', 'B-PRED', 'B-ASP', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] which gaming laptop can i buy under 30000[SEP],"['O', 'B-OBJ', 'I-OBJ', 'O', 'O', 'O', 'I-ASP', 'I-ASP']"
[CLS] what is your biggest regret you can still do something about[SEP],"['O', 'O', 'O', 'B-PRED', 'B-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ', 'I-OBJ']"
[CLS] what is the difference between a goal and an objective[SEP],"['O', 'O', 'O', 'B-PRED', 'O', 'O', 'B-OBJ', 'O', 'O', 'B-OBJ']"
