opinion	question
0	what is the number one watched disney movie
1	Install software: which to choose .msi or .exe?
1	what is softer plush or fleece
0	who is your favorite youtuber
0	what are the benefits of niacin taking it orally for the skin?
1	I have 5+ yrs of experience in mainframes and looking out for job in Dubai. Which are the best IT recruiting consultancies to contact ?
0	who was the first person rogue used her powers on
0	who have the most goals in la liga 2018
1	Which is a bigger sin- murder or a suicide?
1	Which kicker to start this weekend? SF or Rams?
1	Which is considered more valuable for faculty job applications, teaching experience or participation in conferences?
0	where was the biggest great white shark found
1	What are the most interesting products and innovations that Resource America is coming out with in 2016?
1	Are clear or opaque tarps better for solarization?
0	What's the difference between INFJ and INFP?
1	What is the lesser evil, degassing too early or too late?
1	What are some of the funniest Narendra Modi memes?
1	Is French culture more intellectual than American culture?
1	Who is the best ever sportsman?
1	What are the best websites for bank exams preparation?
1	What are the best apps that you have come across or used in terms of UI and ease of use on the three mobile platforms?
0	Why does Israel have the highest rank of suicide in Middle East far larger than Iran, Turkey and Arabian countries? Where is the problem?
0	which trait is most likely determined by genes
1	"What is the best short answer for ""why should I hire you""?"
1	Readability vs minimalism/compactness/conciseness in language design: are they antagonistic?
1	what are the advantages and disadvantages of using humor in advertising?
0	who has the most championships in the nba
1	For graduate admissions, is it better to attend a well-known undergrad program with advanced coursework or one where I can write a bachelors' thesis?
0	who was known as the greatest writer of latin prose
1	Which is better Windows 7 RTM 32Bit vs 64Bit (with 4GB RAM)
0	what is the oldest book still in existence
1	What are some of the best tactical changes made by a captain of a cricket team?
1	What are the best places to visit in Goa on a 2.5 day trip?
1	Who is hotter, indians or persians?
0	How does Edgware compare with other neighbourhoods in London?
1	What are some of the benefits of electric stoves versus gas stoves?
1	what is better for lower back pain chiropractic therapy or physical therapy?
1	In what aspects is Kolkata (Calcutta) a better city than Ahmedabad?
1	Which is a suitable inpatient drug and alcohol rehab center near White County GA?
0	which state is told to house the most magical and mythical beings
0	Why are the most successful people from IITs and other top universities of the world?
1	Do you think Good Charlotte or Simple Plan is better?
1	What is the best way to make an Android app for my website?
1	What is best investment option?
0	What are the best ways to lose a lot of weight as quickly as possible?
1	What are most dangerous places in the world?
1	What is the best laptop in 50000 in India?
1	C# or Java. Which is better?
1	What came first, the egg or the chicken???
1	Is there a difference between anxiety attacks and panic attacks?
1	turbo? or supercharger? what is the difference? what are the pros and cons of both? which causes more damage?
1	What are the best thing about Indians?
1	What is the best open source software to design a PID controller and HMI, with the end result file being an executable file?
0	where is the most poverty in the uk
0	who served as chief minister of balochistan for shortest period
1	Do you think faux finishing is better than wallpaper?
0	who were the most powerful elected officials in rome
0	what are some common ways to relieve stress
1	what do you like better? Skydiving, Hangliding, or Paragliding?
0	What are the most famous caves in the Chhattisgarh?
0	Which one is the most popular music player app?
1	What is the best way to relax sore muscles?
1	What is the best way to write algorithms?
1	Are there any (dis)advantages to homestay in Ealing as opposed to a Zone 2 area in London?
1	What are the best restaurants to try when visiting Reading, UK? What should you try while you're there?
0	who holds the record for most consecutive wins in the nba
0	what foods are the highest in vitamin k
1	Which is the best college or university in Canada for studying masters or PG diploma in electrical engineering?
1	What is the difference between Quora, WhatsApp and Facebook?
0	where is most of the agriculture practiced on earth
1	What are some of the most famous unsolved mysteries?
0	who got the most land in the berlin conference
1	What is a suitable solar panel installation provider near San Marcos, California CA?
1	What are the pros and cons of rubber vs wood mulches?
0	when is an interest group the same as a faction and when is it different
1	What are most important things in life?
0	who has the most medals in this year's winter olympics
1	what would you choose to fly 'dream liner' or 'double decker airbus',who will win future transport?
1	What is the best smartphone in the price range 7000-9000?
0	who did the patriots play first this season
1	which is better plasma or LCD big screen tvs?
1	Gillian Anderson: Out of all your roles which one relates you the most and why?
1	Do employees at L Brands have a good work-life balance? Does this differ across positions and departments?
1	What are some good coaching institutes for UPSC in ahmedabad?
1	What is the biggest worry in your life? Why?
0	What are the most successful FinTech startups?
1	What is it like to earn $100,000 vs $250,000 vs $500,000 vs $1,000,000?
1	What are some good coaching centres for CA IPCC in Delhi?
0	What is the state state with low level of urbanisation in india
0	who won the first gold medal in commonwealth game 2018
1	What are the best restaurants to try when visiting MagÃ©, Brazil? What should you try while you're there?
0	what is the coldest temperature recorded in new york state
1	What is the best Chinese food dish?
0	what do the different pedals on a piano do
0	where are the most hops grown in the world
0	who was the last us president to be assassinated
1	Should I buy a DSLR camera or a laptop?
0	What are the best ways to reduce and eliminate belly, abdominal, and thigh fat?
1	which was the most important effect of the bessemer process?
0	Is there a difference between a good facilitator and a project manager?
1	why is bronze preferred over copper metal for making statues
0	Is ADSL the same as DSL?
1	Why is DPLL better than brute force?
0	who was the highest paid actor in 1971
1	where is the best soil in the us
0	which is the largest forest state in india
1	What should I do-MBA or be Software Engineer?
1	What's the best story about Egypt?
0	which us city created the first formal us police department
0	who fired the first shot at fort sumter
0	What is the difference between sarcasm and irony?
0	who won the first world series of poker at binions
0	who has the longest touchdown pass in nfl history
0	who was the most decorated soldier of ww2
1	Which bike is better, a Royal Enfield classic 350 or a Bullet 350?
1	Who do u like the best Tom Cruise or Hanks?
0	Is it more costly to transport oil from gwadar port to China than through malacca strait?
0	What's the best way to overcome social anxiety and gain confidence?
0	what is the difference between canapes and hors d oeuvres
1	What is the best strip club in Vegas?
1	What is the best quadcopter for under $200?
1	Is it better to dual-boot or run a VM?
0	who was the most popular president in ncr
0	I am a programmer, should I buy a MacBook or windows laptop?
1	which incident report is the most effective at reporting the incident? quizlet
0	What are the top ten largest cities in canada by population
1	What is the best food delivery app in Sydney?
1	in a fight which animal would win, a polar bear or a panda bear?
1	What is the best beginners online course for programming?
1	Super Smash Bros. Brawl: What is the best strategy against Marth?
0	is tucson az more expensive place to live than florida
1	What is a good, safe site to buy cigarettes?
0	What is the difference between nihilism and anarchism?
1	Is there any forum better than Quora?
1	What are some of the less known facts about Flipkart?
1	What came first; Software or Hardware?
0	who was the oldest supreme court justice ever
0	What is the difference between general design and detailed design
1	What are the differences between Big Chicken vs Small Chicken: weight and stuffing volume ratios
0	where is the largest groundhog day celebration held in the us
0	which us state has the highest sales tax
0	what is the difference between king and lord
0	what are the different parts of eyeglasses called
0	what are the oldest cities in the us
1	Why are cut roses doing so much better in a ceramic vase than a crystal vase?
0	what is the most abundant type of cell in the nervous system
1	what's the difference between x58 and x86 architectures?
0	What is correct, thanks to all or thanks all or thank you everyone?
1	Who will be a better president Donald Trump or Hillary Clinton?
1	Which is the best internet connection? wired or wireless and give reason for your choosed internet connection.
1	What's the difference between a junior guitar and a normal guitar?
0	What are the largest companies in the united states by market cap
1	what are your favorite l'bri products?
1	Which is better Haskell vs Erlang for web services
0	during which step of cellular respiration is the majority of atp formed
1	Who are the best actors in the world as of 2016?
0	what will a soft tip do compared to a stiff tip shafts
0	What is the cheapest way to send money to India from the UK?
0	which is the largest zone of indian railway
1	"What's the difference between ""modal music"" and ""tonal music""?"
1	What is the difference Structured programming versus OO programming
1	What is the best programming language for beginners to learn?
0	What is a quick way to get rid of hiccups?
1	Is it better to use preprocessor directive or if(constant) statement?
1	What are the best books for UPSC/UPPCS?
1	who is the most highly decorated soldier in us history
1	Should I choose 32 or 64 bit for Linux?
1	What is the best way to learn to do financial modelling?
0	which religion predominates in the countries of pakistan and bangladesh
1	What is the difference between a scripting language and a normal programming language?
1	Will DRDO's excaliber rifle be the one of best rifles of the world?
1	What are some good movies which depict friendship?
1	What is the best forum for communicating with retailers?
1	What are the similarities between Mexican and Indian Food?
0	who is the highest paid major league baseball player today
1	What's the difference between Adaptive Control and Hierarchical Reinforcement Learning?
0	What are the best practices for a developer?
0	How does ISB, Hyderabad compare to IIM Ahmedabad?
1	Which is best escort agency in Bangalore?
1	Which is better Integrated Graphics vs Dedicated Video Card on laptops
1	what cat breed has the cutest kittens
0	who has won the most oscars for costume design
0	What is the difference between Internet and internet?
0	what are two ways the caravel was different from other boats of its time
1	Which is better Verizon, Cingular, T-Mobile, Sprint or Nextel?
1	Do you feel that your son is more special to you than your daughter only because of his gender?
1	What is better Uber or Ola? Why?
0	what are the different nucleotides?
1	Which is preferred: worm castings or worm casting tea?
1	What are the best graduate programs for product design?
1	how did baroque art differ from renaissance ?
1	Is it better to spend resources on a skilled team or good process practice?
1	What are some mind-blowing Car tools that exist that most people don't know about?
1	What are the best high-end preschools in MontrÃ©al? What makes them good or special?
1	Is it generally better to cut chicken breast with or against the grain?
0	What's the easiest way to make money online?
1	What are the best career option for women?
0	who is the youngest person on the supreme court
0	What is the best way and right age to introduce chess to a child?
1	Which is the best Android smartphone under 10000?
0	what is the most popular name in asia
1	For a US non-resident alien who resides in a country with territorial tax, who intends to have US Effectively Connected Income (ECI), is it better to set up a US LLC, a US C-Corporation, or a foreign entity?
0	where is windsor castle compared to kensington palace
0	What is the most bittersweet moment you've experienced in you life?
0	What is the best way to introduce 11 year-olds to programming?
0	who has won maximum oscar in his lifetime
0	is colander the same thing as a strainer
1	What are the differences in Star free language vs. regular language
0	What is the highest exporter of natural gas in the middle east
1	What's better : Yahoo mail or Gmail?
1	Should we learn to ski or snowboard this winter?
0	What is the difference between mechanical engineering and engineering physics?
0	which area of the body had the largest receptive field
0	which mmo has been operating the longest
0	who won the most medals in the olympics
1	What is the best way to send money from Australia to the Philippines?
1	Where can I found best quality graphic mats in Sydney?
0	is bits goa cse better than nit surathkal
0	who sold more records elvis or the beatles
1	which sql iso install per core
0	who has the most championship belts in wwe
0	What is the difference in the college 3 point line in nba
1	is it better to have your kids be oldest or youngest in class?
1	Is internal train travel in France cheaper on day, or when pre-booked from UK?
1	What are the biggest mistakes done by humans?
1	What are the strongest majors in terms of job prospects and what are the weakest majors at Purdue?
1	What are the best romantic Hollywood movies to watch?
0	How does the form of government in Jamaica differs from the one in Australia?
0	where are most of the world's earthquakes located
1	What are the differences between coated drumheads and clear drumheads?
1	What are the best mobile phones under 10000?
0	Which Ivy League School's economics or MBA programs would be easier to get accepted with a low GPA but very high scores on the GMAT and TOEFL for an international applicant?
1	Which is better Firefox, Internet Explorer, or Opera?
0	is it good to use the internet as a research tool
1	what are the advantage of trash energy
0	which is the fastest running train on indian railways
1	Is it better to give a poor/unfinished talk at a conference or cancel it?
0	what country in east asia has the most urbanized population
1	What is the better home page out of my.yahoo, yahoo 360, googl.com/ig and the microsoft page?
1	When would polling for events be better than using observer pattern?
0	who is the youngest us president elected to the office
1	Should I buy steel or ceramic knives?
1	What are some must-watch Indian short movies/films?
0	what course do you have to take to become a vet assistant
1	Are On-Screen Keyboards Really More Secure?
1	What is the coolest Harley Davidson iPhone 5 case?
0	What is your favorite comic book storyline?
1	What are the best books or site to prepare essays for XAT?
1	Which language is harder to learn Chinese or Japanese?
0	who has more nba championships the east or west
1	Which to choose to refreeze or to refrigerate?
0	What's the best method to get meth out of your system?
1	Which is the best laptop headphone with mic in India under 1k?
1	What are the benefits of vinaigrette vs. pouring oil and vinegar separately on salad?
0	what are the difference between a shared pair and an unshared pair of electrons
0	what age do most women get cancer
0	What is the property tax rate in Granville, Ohio? How is it compared to the one of Alaska?
1	who will win usc or texas ?
1	I'm confused between the Maruti Swift VXI and the Hyundai Grand I10 Sports. Which is the better of the two?
1	What is the best exercise for lowering cholesterol?
0	what is the difference between air brakes and hydraulic brakes
1	what medicine is easy on stomach for headaches
1	What is a good book for behavioral economics?
0	What are the best ways to lose weight?
1	What are the best aspects of living in Glasgow, UK as a young adult?
1	As of March 2014 which is the better gaming console on the market, Sony's PS4 or Microsoft's Xbox One?
0	what is the major cause of french revolution
0	What's the best real life karma you've ever seen/experienced?
1	What are the worst answers ever given on Quora?
1	Intel CPU: Core 2 Duo vs. Xeon Dual Core. Which is faster?
1	Which course after b.tech in mechanical engineering suits best?
0	I am from India and am visiting Dubai during DSF. Where can I buy a good, genuine laptop and car audio accessories for the main unit with international warranty? Will there be a price difference compared to India?
1	What are the best free things to do in New York City?
1	Which is better, an edge LED TV or a direct LED TV?
0	What is positive displacement pump and non positive displacement pump?
0	is den haag the same as the hague
1	What are the funniest stories your family and friends tell about you?
1	How to Burn the Most Fat
0	who has won the most dude perfect battles
1	What are the best laptops to buy under 500$?
0	who has the fastest 40 yard dash time at the nfl combine
1	Is it better to blindly match the project requirements or to match the spirit of the project requirements
0	What is the best way for an unexperienced person to start a business without any risk?
0	What are the best ways to get rid of acne?
0	what are two similarities between oxidative phosphorylation and photophosphorylation
0	who has the biggest brain in the world
1	What are the pros and cons of bagged mulch versus city mulch?
0	how tall is the tallest building?
1	For a person who has no idea of Java or c++ coding, which technology is better to learn, Hadoop or SAP?
1	What are the pros and cons of socialism and communism?
0	are pumas cougars and mountain lions the same animal
0	who recorded country music's first big hit million seller record and what was the name of the song
1	Which is better player - Winamp or Yahoo! Music Engine?
1	What is the best way to delete a virus?
0	what is the fastest i can get a passport
1	is a black or white ipod video better?
0	who has sold the most hip hop albums of all time
1	Which hurts more, being in love or losing your love?
1	Which is a good IDE for developing front-end javascript?
1	What are the10 best things about MNIT Jaipur?
1	Is UPS or USPS better for shipping mid-to-large size packages?
0	What is the best backup software for Windows 10?
0	Are political parties in the U.S. just like China's one party?
0	What's the best way to learn web application development with Java technologies?
0	what diagnosis codes should i use for a fall risk assessment with no fracture
1	Where can I get best flavors, designs and decorations for cupcakes at Gold Coast?
0	What is the difference between CRR, SLR and Capital Adequacy Ratio (CAR)? Explain by giving examples and illustrate their significance.
1	What is the best way to make man happy?
1	What are you scared of the most?
0	what type of crimes is marijuana most commonly related to
0	What is the difference between industrial psychology and human resource manager?
0	Music theory: what is the difference between a key and a scale?
1	What is the best way to to make money?
1	what is the best way to keep foods longer
1	Should I get the 360 or PS3?
0	How can I kill myself the best way?
0	what are some similarities between judaism and hinduism
1	I iam 36 should i go to a vocational school or college which one is more practical?
1	What is the difference between pure horse manure and bedding manure?
0	what benefits does cobra cover
1	SLF4J vs LOG4J Which one to prefer?
1	what is best grass for cattle
1	Which is better VISE or InstallerMaker for Snow Leopard?
1	Is it easier to unlock my phone and have it activated with a local provider in another country or to buy a local pay and talk phone?
1	What is a good alternative to Path?
0	What is the difference among basic mathematics, applied mathematics and computational mathematics?
1	Is Yahoo or Google a better resource for research? What is another good resource for academic research?
1	Is the view of Niagara Falls better from the American or the Canadian side?
0	What are some of the good sites to learn javascript?
1	What are better chances for math grad school: graduate in three years or four?
0	What are three largest cities in the world by population
1	"Is it better to submit a paper to a journal ""normal"" issue, or wait 4 months and send it to a more focused ""special section"" of the same journal?"
1	What's the difference between pure foam and memory foam mattresses?
1	Which is preferable, to go to graduate school at same school as undergrad or to go to a lower-ranked school?
0	How do checking accounts and savings accounts differ?
0	who is the highest paid wwe star
1	What is the strangest thing someone has ever said to you?
0	what is the largest chimpanzee on record
0	what was the primary cause of the civil war
1	is jimmy anderson the best bowler in the world
1	"Which site is a better ""dictionary"" site?  Dictionary.com vs Merriamwebster.com (m-w.com)?"
1	What are some good baby boy names starting with 'Y'?
1	What's the difference between gazpacho and normal soups?
1	Want to enroll for Design for test course, which training centre is good?
1	What are the craziest/weirdest things you've seen a professor do?
0	What are some of the advantages of filling nitrogen gas filling in tires?
0	who is the longest serving doctor who companion
1	What is the difference between Overdrive and Distortion?
0	what are the different types of sae in ffa
0	What is the main difference between veins and arteries?
1	What is the difference between foam soap and regular liquid soap?
1	what would you consider the three most important facts about pakistan's neighbors
1	which os is better windows or linux?
1	would u prefer an arranged marrige or love marrige?
1	Among these EVs Nissan Leaf, Renault ZOE, Chevy Bolt and Tesla's Model 3, which would you pick and why?
1	What are some good ways of managing your money?
1	What is the worst or most boring football match you've ever seen?
0	what is the difference between a bernese mountain dog and a swiss mountain dog
0	is anthem same as blue cross
0	What are the best ways to lose weight without exercise?
1	A charter schools a better solution to the failing education system? What are the pros and cons of charter schools?
1	Which is better: BitTorrent or Limewire?
0	who was the first woman elected to the us senate
1	What is the best source for finding out how content creators build businesses using Youtube?
0	what is the difference between cultures and ethnic?
0	What is the difference between fruit flies and fleas?
0	which came first tcp/ip or osi
1	Which is better, Direct TV or the Dish Network?
0	What are similarites between the French revolution and the American revolutuion?
1	What are the best gay webcam sites?
1	What are the best books for studying machine learning?
1	Is USA the most powerful country of the world?
0	what is the difference between pt and dpt
1	What's the better way to charge for a cloud platform, simple but more expensive, or complicated but cheaper for most?
1	Which language should I learn to build Android apps in Android studio?
1	What are the pros and cons to removing a Hemmorragic kidney cyst?
1	What is the best torrent site for TV series and episodes?
1	Which is better Self-drive vs. guided safari in Southern Africa
0	What is the difference between synchronous and asynchronous?
1	How much better is Playstation 3 than Xbox 360?
0	what is the second biggest ship in the world
1	Which is better, dvd+r or dvd-r, why?
1	Which phone should I buy moto g 4 plus or redmi note 3?
0	Who had the most assists in an nba game by a team
1	What are some interesting game theory projects?
0	What are some of the best startups ideas for India?
1	Which is better intel or AMD?
1	Who is better Aniston or Jolie?
1	Are men who choose to be single parents more responsible and mature?
1	What are some nice duet romantic songs?
1	Why Firefox on Linux looks different than Windows/Mac?
0	who wins the most medals at the winter olympics
1	What is the difference between Devil's Food and Chocolate cake?
1	Which is a suitable solar panel installation provider near Chandler, Arizona AZ?
1	who's better, Omarion or Mario?
1	What are the biggest culture shocks people face when coming to Lithuania?
1	WHICH is better Seether or System of a Down?
1	Which to you prefer: Yahoo! or MSN Messenger?
0	Mobile Phones: What is the difference between GSM, WCDMA, CDMA and UMTS SIM slots?
1	who is more creative with sex men or women?
1	What's the difference between alnico and ceramic pickups?
1	is a bachelor's degree the same as an honours degree
1	What is the best way to prepare optics for CBSE class 12 boards?
1	Which is world's best romantic movie?
1	What are the most interesting but little known historical events?
0	who is the highest paid athlete in the mlb
1	What is the biggest threat to Apple?
1	what is the purest form of the bible
1	Which is better? Rose Bowl or Super Bowl?
1	What is the best way to throw a party?
1	Students: what is the best experience you've had because of a teacher?
1	Where should I go Delhi, Beijing or Japan for sightseeing in May with a teenage daughter?
0	What is the best way to stay young after 50?
0	who is the first woman nominated members of the rajya sabha
1	What is the difference between grape and cherry tomatoes?
0	what age should i get colonoscopy with family history
1	What is a good solar panel installation provider in San Carlos, California CA?
1	What is Silverlight and how is different from flash? Why should I install it?
0	which is the first hindi movie in india
0	What is the difference between a Prophet and a Messenger?
0	which medium stores the least amount of information
1	What are some interesting and challenging books for learning C?
1	What are the Differences in student load at liberal arts colleges vs. research universities
1	what is the most important night of hanukkah
1	Should we buy a Prius (hybrid) or a Honda Accord?
1	What are the best books on African history and African culture?
0	who is the first president of bharatiya janata party
1	What are the 10 greatest horror movies of all time?
0	what is the strongest hurricane to make landfall
1	Which is better for CSE in VIT Vellore or certain with maths in IIIT Delhi?
1	What should I choose Weekend in Turin or Genova?
1	Is SSD better than Superfetch?
0	How does a first-time founder best meet investors in Silicon Valley?
1	What is the difference between roasting, baking, and broasting?
0	What are the best ways to skin a rabbit?
1	who has the least direct influence on the development of roman culture
1	Why is a Salt Water Swimming Pool better than a Chlorinated Pool?
0	What is a record number of overtime periods in nhl playoffs
1	What is the best Cocteau Twins EP?
0	who had the least amount of solos in debut album up all night
1	What are the most important lessons travel has taught you?
1	Is it better to have just two good letters of recommendation, or two good letters and one bad letter, if three are expected?
1	What are the best small classes for freshmen at Western Illinois University?
1	Who is better Beyonce, Mariah or J-Lo?
0	who wrote most of the songs for the beatles
1	What is better a Sony Speaker with 1 way or a Kenwood Speaker with 2 ways? Both has same power in watts?
1	Do you prefer hand written letters in snail mail, or email from friends/ relatives?
1	Who do you like better, Dakota Fanning, or Cameron Bright? Why?
1	What are some of the best ways to promote your blog?
0	How do clogging and tap dancing differ?
1	If I want to be Jewish, should I convert via Conservative Judaism or Modern Orthodox Judaism?
1	what are the advantages of using the indirect method?
1	What is the best institute for CAT preparation in Delhi?
1	what is the best way to clean paint brushes
1	What is the best iPad?
1	where do the best quality emeralds come from
0	StarCraft II: What are some good Zerg build orders for 2v2 and 3v3?
1	which is better, external hard drive or internal hard drive?
0	what foods burn calories faster to blast that fat
0	What are the differences between the novel Anna Karenina and the 2012 movie adaptation?
0	who has the most wins in super bowl history
0	where do the largest concentrations of asian and pacific islanders live in the united states
1	What is the best way the government of India should follow to get back black money?
1	what shirt goes well with short pants for a man
1	Is a potted grapevine better put under or outside a roof?
1	What car do you think is better? the New Toyota SUVs or Sport Utility or the BMW M Series or Chrysler pacifca?
1	Which is better Limewire or Bearshare?
1	Do you believe Donald Trump would be the worst president in the history of the United States of America?
1	What is the best way for a new CEO of a tech startup to approach & develop mentors in the funding & startup community?
1	What are most over the top things you got in trouble for when you were in public school?
0	what are the different types of responsibility army
1	which car rental should I pay now or pay later?
1	what is the cheapest month to go on a cruise
0	What are the most famous landmarks in each state
1	What is the best early morning habit for success?
1	For PhD admissions is it better to be a first author on a workshop paper or a co-author on a conference paper
1	What are some best classified websites?
0	By revenue, what are the world's wealthiest private companies?
1	Is it better to buy a condo or a house in Las Vegas?
1	Why should we NOT do frequent deployment in PROD or to test server?
1	What are the most useful skills for entrepreneurs that can be learned online?
1	Which is better to sautÃ© with, stainless steel or Teflon?
1	what skills do employers seek the most
1	Is it cheaper to buy a tour to the GalÃ¡pagos Islands at home or when in Ecuador?
0	who was the first official president of the united states
1	"What are the pros/cons of the ""tuning-in-slide"" method of trombone design?"
0	What are some of the more lesser known and unique locations throughout Germany to visit?
0	which professional.sport pays the most money
0	What are some hotels in Agra which offer a stay to unmarried couples?
1	Is Razor or XSLT better for my project?
0	what is the main language spoken in dubai
0	who is the oldest golden girl in real life
0	during what time of the year is the arctic sea ice extent normally at its lowest
1	Travelling from London to Italy's Amalfi Coast. Better to fly or take the train?
0	What is the best way to control our emotions?
1	Which one to choose - football or cricket ?why?
0	What is the basic difference between inductor and coil?
1	Whatâs better, the color blue or red?
1	Should I get an iPod Shuffle (1GB) or an iPod Nano (2GB)?
1	Which torch to buy for finishing sous vide meat? Butane or propane?
0	what is the difference between jpmorgan and jpmorgan chase
1	What is the best comic book?
0	What are the best hotels in Amsterdam?
0	What is the difference between Chinese culture and Western culture?
0	what's the difference between pvz free and pvz
1	Which real life people best match the characters in Game of Thrones?
0	who stole the most bases in major league baseball
1	Which is more important to get into top CS PhD program: High GPA or industry R&D project experience?
0	which organelle produces the most heat
1	Why is Mumbai - London - Dallas - Denver more expensive than Bangalore - Mumbai - London - Dallas - Denver?
1	What are some best revenge movies?
0	What is your favorite Bollywood song? Why?
1	What is the most popular genre and topic on Wattpad?
0	What is difference between CEO & COO?
0	who's the highest-paid basketball player in the nba
1	Which is better easy going advisor versus expert advisor and research experience
1	Should I buy an AMD 3700+ or wait till the price of dual core processors goes down?
0	What is the different between offshore and onshore?
1	What are the best CrossFit workouts on YouTube?
1	What are some startup ideas that frequently fail?
1	What's the difference between Mac OS, Windows, and Linux?
0	who has the most money on shark tank australia
1	Is developing With Ruby/Rails Easier, Faster Than Developing With PHP/CakePHP?
1	Which one is better among KMC Manipal and KMC Mangalore?
1	What's better...a ham sandwhich or a grilled cheese sandwhich?
1	How does Shobhit University in Meerut's academic program compare to the University of Calcutta's?
1	what is the difference between love and friendship?
0	who was the first joseph in joseph and the technicolor dreamcoat
1	what was probably the greatest factor in americas entrance into the war
0	who has won the most major golf titles
0	what's the world record for the highest vertical leap
1	What is the best alternative (free or not) to Dropbox?
1	Which is the best laptop for programming and writing papers?
0	How does the immune response against antigens compare against nucleic acids?
1	is plasma or lcd tv better to the eyes (especially small kids) than regular crt tv?
0	which geographic region contains georgia's highest of population
1	Lua and C, which one is the best programming language for embedded systems?
0	statistically what occupation commits adultery the most
1	"How do the ""slight highs"" from cigarettes and e - cigarettes/vapor differ? Is one better than the other? Smell and other components like that aside."
0	what is the 2nd largest city in usa
1	What is the best instant ramen brand available in Spain?
1	Daybed or Futon which is better?
1	which one will take over the world? google or USA?
1	Which is the best keywords for website development company?
1	What is the best website design company?
0	Which is the largest church in the world and where is it situated?
0	do ac milan and inter milan share the same stadium
1	Which rock band is better: The Foo Fighters or the Red Hot Chili Peppers?
0	where is the longest bridge over water
1	What are some mind-blowing Wallets that most people should have?
1	Who do you like more,superman or spideman and why?
0	is the monseigneur and the marquis the same person
1	Is an open-ended ticket more practical than a one-way ticket for touring China?
1	What are the best scenes in movie history?
0	What are the different kinds of math?
1	which one is better benz or BMW   ???
1	What are the strengths and weaknesses of the advising system at Western Illinois University?
1	Which is better collegiate or professional?
1	what is most important love or lover?
1	Who will win the election TRUMP or CLINTON?
0	what is the second strongest typhoon in the philippines
1	What is the best LG G3 app?
1	Which is better,Britney or Christina?
1	What does SVN do better than Git?
0	who has had the most top 10 hits
0	what are two benefits of using a layered network model? (choose two.)
0	What is friction and what are the different types?
1	What is the best Korean dramas of all time?
1	How can I find the best study method for me?
0	who is the first woman boxer to be honoured with the rajiv
1	Is it easier to play on a Grand Piano than an Upright Piano?
1	Which is a better IM client? Miranda or Gaim? Are both portable on flash?
0	what is a good side dish for cilantro lime chicken
1	"What is the best way to say ""Thank you""?"
1	Should I get a Honda Civic Si or a Civic EX if I have a choice?
1	What are the most popular strategies used in high-frequency trading?
0	which letter of the english alphabet occurs least often in writing
1	What was your best moment?
0	What is the difference between heat capacity and specific heat?
0	who was the longest running prime minister of canada
1	What are the best personality development institutes in Delhi?
1	why precision rectifier is better than ordinary rectifier
0	What are the rules and regulations when visiting an inmate at Valdosta prison and how does it compare to prisons in Hawaii?
1	Choosing Dual or Quad Core which is better
0	what courses must you take to become a vet
1	Who is harder to raise boys or girls?
1	"Mac OS: ""Minimize"" vs ""Hide"" - what's the difference?"
0	who has the fastest time in the nfl combine
0	Who is the only player to win silverware at liverpool and manchester united
1	What is the best way to prepare for CA final law and audit?
0	where does most farming take place in china
0	What is the best way to get help?
1	Windows 7: Should I Install 64-bit or 32-bit Version? (x64 vs x86)
0	What are the main differences between a function, a method, a procedure and a subroutine?
0	What is the difference between common method variance and common method bias
0	What are the most common traffic convictions in Arkansas, and how does the severity of the convictions differ in California?
1	What is the best book to learn about human behaviour?
0	what is a major difference between eukaryotic dna replication and prokaryotic dna replication?
0	who has the most yards per carry in nfl history
1	What are some of the most recommended places to visit in Iceland?
0	who landed on the moon for the first time
1	Are citrus trees better grown using containers or in the ground?
0	where does most seismic activity occur on earth
0	What is the difference between responsive and adaptive design?
1	which organization is the best known international intergovernmental organization of igo
1	Which one you prefer ATI or Geforce?
1	What are some great side dish ideas for salmon?
0	where is the oldest bristlecone pine tree located
0	which country has the most number of satellites
1	who has the best history in english football
0	What are the differences between customs and traditions?
1	which is better Car rental vs. buying a car for 1 month, when visiting the USA?
0	who has the biggest ship on deadliest catch
0	What are the differences between English and Turkish graphotactics/graphemics?
0	What are some good free video editing softwares on the PC?
0	What are the best ways to ask a question on Quora?
1	I want to design and build my own home in India. what are the pros and cons compared to buying a pre-built house?
0	who has conceded the most goals in the premiership
1	What is more important than happiness?
1	Which one is more sour, lemon or lime?
1	What is GATE? How difficult is it compared to JEE?
0	Who was the first number one song beatles
0	what type of bond is most likely for two atoms with valences of 1 and 7
1	What are the Top 10 NPTEL courses for Electrical Engineering?
1	Which is more serious handicap: being blind or being deaf?
1	Which is the best book for entrepreneurship (beginners)?
1	Which is a good solar panel installation provider near Ione, California CA?
1	What is the difference between AGP and PCI graphics cards?
0	What is the longest you've gone without eating? Why?
0	which is the longest river in pakistan ?
0	who has the most grand slams this year
0	who is the best nba player of all time
1	which green day cd do you  think is better?  dookie vs american idiot or other?
1	What would be the most suitable job(s) for a remorseless high-functioning sociopath?
0	who has the highest tides in the world
1	What is the best video format to use for YouTube?
1	Is it better to use a Database or a data structure for network stack?
0	What is the best way to lose weight and not gain it back?
0	who was the longest ruling non-royal head of state post-1900
0	What is the difference between full wave rectifier and bridge rectifier?
0	who is the longest serving member of the house in history
1	What are some interesting topics for paper presentation?
0	who were the first european settlers in the west
0	What are some really interesting machine learning projects for beginners?
